Unique_ID,topic,school,is_post
R_UNC_00533,3,UNC,False
R_UNC_00529,3,UNC,False
R_UNC_00540,3,UNC,False
R_UNC_00541,3,UNC,False
R_UNC_00532,3,UNC,False
R_UNC_00525,3,UNC,False
R_UNC_00542,3,UNC,False
R_UNC_00524,3,UNC,False
R_UNC_00558,0,UNC,True
R_UNC_00560,0,UNC,False
R_UNC_00559,0,UNC,False
R_UNC_00561,4,UNC,True
R_UNC_00565,4,UNC,False
R_UNC_00564,4,UNC,False
R_UNC_00566,4,UNC,False
R_UNC_00567,4,UNC,False
R_UNC_00568,4,UNC,False
R_UNC_00563,4,UNC,False
R_UNC_00562,4,UNC,False
R_UNC_00572,0,UNC,True
R_UNC_00577,0,UNC,False
R_UNC_00576,0,UNC,False
R_UNC_00573,0,UNC,False
R_UNC_00574,0,UNC,False
R_UNC_00575,0,UNC,False
R_UNC_00614,1,UNC,True
R_UNC_00618,1,UNC,False
R_UNC_00615,1,UNC,False
R_UNC_00616,1,UNC,False
R_UNC_00617,1,UNC,False
R_UNC_00620,7,UNC,True
R_UNC_00624,7,UNC,False
R_UNC_00622,7,UNC,False
R_UNC_00621,7,UNC,False
R_UNC_00625,7,UNC,True
R_UNC_00627,7,UNC,False
R_UNC_00628,7,UNC,False
R_UNC_00629,7,UNC,False
R_UNC_00630,7,UNC,False
R_UNC_00631,8,UNC,True
R_UNC_00633,8,UNC,False
R_UNC_00634,0,UNC,True
R_UNC_00637,0,UNC,False
R_UNC_00636,0,UNC,False
R_UNC_00635,0,UNC,False
R_UNC_00638,7,UNC,True
R_UNC_00640,7,UNC,False
R_UNC_00639,7,UNC,False
R_UNC_00641,7,UNC,True
R_UNC_00642,7,UNC,False
R_UNC_00643,0,UNC,True
R_UNC_00650,0,UNC,False
R_UNC_00647,0,UNC,False
R_UNC_00648,0,UNC,False
R_UNC_00649,0,UNC,False
R_UNC_00644,0,UNC,False
R_UNC_00645,26,UNC,True
R_UNC_00646,26,UNC,False
R_UNC_00651,15,UNC,True
R_UNC_00652,15,UNC,False
R_UNC_00653,7,UNC,True
R_UNC_00656,7,UNC,False
R_UNC_00657,7,UNC,False
R_UNC_00658,7,UNC,False
R_UNC_00654,7,UNC,False
R_UNC_00659,7,UNC,True
R_UNC_00681,7,UNC,False
R_UNC_00669,7,UNC,False
R_UNC_00678,7,UNC,False
R_UNC_00670,7,UNC,False
R_UNC_00682,7,UNC,False
R_UNC_00673,7,UNC,False
R_UNC_00679,7,UNC,False
R_UNC_00683,7,UNC,False
R_UNC_00674,7,UNC,False
R_UNC_00671,7,UNC,False
R_UNC_00675,7,UNC,False
R_UNC_00672,7,UNC,False
R_UNC_00680,7,UNC,False
R_UNC_00676,7,UNC,False
R_UNC_00667,7,UNC,False
R_UNC_00665,7,UNC,False
R_UNC_00663,7,UNC,False
R_UNC_00661,7,UNC,False
R_UNC_00660,7,UNC,False
R_UNC_00666,7,UNC,False
R_UNC_00664,7,UNC,False
R_UNC_00662,7,UNC,False
R_UNC_00687,7,UNC,True
R_UNC_00688,12,UNC,True
R_UNC_00697,12,UNC,False
R_UNC_00695,12,UNC,False
R_UNC_00693,12,UNC,False
R_UNC_00691,12,UNC,False
R_UNC_00689,12,UNC,False
R_UNC_00698,12,UNC,False
R_UNC_00694,12,UNC,False
R_UNC_00702,1,UNC,True
R_UNC_00705,1,UNC,False
R_UNC_00700,1,UNC,False
R_UNC_00706,11,UNC,True
R_UNC_00708,11,UNC,False
R_UNC_00707,11,UNC,False
R_UNC_00709,4,UNC,True
R_UNC_00717,4,UNC,False
R_UNC_00716,4,UNC,False
R_UNC_00718,4,UNC,False
R_UNC_00713,4,UNC,False
R_UNC_00712,4,UNC,False
R_UNC_00714,0,UNC,True
R_UNC_00715,0,UNC,False
R_UNC_00710,10,UNC,True
R_UNC_00711,10,UNC,False
R_UNC_00719,20,UNC,True
R_UNC_00721,20,UNC,False
R_UNC_00722,20,UNC,False
R_UNC_00723,20,UNC,False
R_UNC_00720,20,UNC,False
R_UNC_00740,4,UNC,True
R_UNC_00739,4,UNC,False
R_UNC_00738,4,UNC,False
R_UNC_00737,4,UNC,False
R_UNC_00736,4,UNC,False
R_UNC_00735,4,UNC,False
R_UNC_00734,4,UNC,False
R_UNC_00733,4,UNC,False
R_UNC_00732,4,UNC,False
R_UNC_00731,4,UNC,False
R_UNC_00730,4,UNC,False
R_UNC_00728,4,UNC,False
R_UNC_00727,4,UNC,False
R_UNC_00729,4,UNC,False
R_UNC_00726,4,UNC,False
R_UNC_00725,4,UNC,False
R_UNC_00724,4,UNC,False
R_UNC_00741,7,UNC,True
R_UNC_00743,7,UNC,False
R_UNC_00742,7,UNC,False
R_UNC_00744,4,UNC,True
R_UNC_00749,4,UNC,False
R_UNC_00748,4,UNC,False
R_UNC_00746,4,UNC,False
R_UNC_00747,4,UNC,False
R_UNC_00745,4,UNC,False
R_UNC_00752,2,UNC,True
R_UNC_00756,7,UNC,True
R_UNC_00757,7,UNC,False
R_UNC_00758,7,UNC,False
R_UNC_00759,12,UNC,True
R_UNC_00760,12,UNC,False
R_UNC_00762,3,UNC,True
R_UNC_00763,3,UNC,False
R_UNC_00764,5,UNC,True
R_UNC_00770,5,UNC,False
R_UNC_00769,5,UNC,False
R_UNC_00768,5,UNC,False
R_UNC_00767,5,UNC,False
R_UNC_00766,5,UNC,False
R_UNC_00771,0,UNC,True
R_UNC_00773,0,UNC,False
R_UNC_00774,0,UNC,False
R_UNC_00772,0,UNC,False
R_UNC_00775,0,UNC,False
R_UNC_00776,0,UNC,False
R_UNC_00777,0,UNC,False
R_UNC_00778,0,UNC,False
R_UNC_00779,2,UNC,True
R_UNC_00782,2,UNC,False
R_UNC_00781,2,UNC,False
R_UNC_00780,2,UNC,False
R_UNC_00783,25,UNC,True
R_UNC_00787,25,UNC,False
R_UNC_00786,25,UNC,False
R_UNC_00785,25,UNC,False
R_UNC_00784,25,UNC,False
R_UNC_00789,7,UNC,True
R_UNC_00790,7,UNC,False
R_UNC_00791,7,UNC,False
R_UNC_00792,7,UNC,False
R_UNC_00793,2,UNC,True
R_UNC_00796,11,UNC,True
R_UNC_00799,11,UNC,False
R_UNC_00798,11,UNC,False
R_UNC_00797,11,UNC,False
R_UNC_00800,5,UNC,True
R_UNC_00801,5,UNC,False
R_UNC_00803,14,UNC,True
R_UNC_00809,14,UNC,False
R_UNC_00808,14,UNC,False
R_UNC_00804,14,UNC,False
R_UNC_00805,14,UNC,False
R_UNC_00806,14,UNC,False
R_UNC_00807,14,UNC,False
R_UNC_00810,7,UNC,True
R_UNC_00812,7,UNC,False
R_UNC_00811,7,UNC,False
R_UNC_00813,2,UNC,True
R_UNC_00820,2,UNC,False
R_UNC_00821,2,UNC,False
R_UNC_00815,2,UNC,False
R_UNC_00814,2,UNC,False
R_UNC_00816,14,UNC,True
R_UNC_00817,14,UNC,False
R_UNC_00818,14,UNC,False
R_UNC_00819,14,UNC,False
R_UNC_00822,0,UNC,True
R_UNC_00825,0,UNC,False
R_UNC_00826,0,UNC,False
R_UNC_00824,0,UNC,False
R_UNC_00823,0,UNC,False
R_UNC_00827,2,UNC,True
R_UNC_00828,2,UNC,False
R_UNC_00829,2,UNC,False
R_UNC_00830,2,UNC,True
R_UNC_00842,2,UNC,False
R_UNC_00840,2,UNC,False
R_UNC_00845,2,UNC,False
R_UNC_00839,2,UNC,False
R_UNC_00838,2,UNC,False
R_UNC_00836,2,UNC,False
R_UNC_00834,2,UNC,False
R_UNC_00833,2,UNC,False
R_UNC_00832,2,UNC,False
R_UNC_00831,2,UNC,False
R_UNC_00851,13,UNC,True
R_UNC_00864,13,UNC,False
R_UNC_00866,13,UNC,False
R_UNC_00865,13,UNC,False
R_UNC_00861,13,UNC,False
R_UNC_00862,13,UNC,False
R_UNC_00863,13,UNC,False
R_UNC_00859,13,UNC,False
R_UNC_00860,13,UNC,False
R_UNC_00856,13,UNC,False
R_UNC_00857,13,UNC,False
R_UNC_00855,13,UNC,False
R_UNC_00852,13,UNC,False
R_UNC_00853,13,UNC,False
R_UNC_00854,13,UNC,False
R_UNC_00858,5,UNC,True
R_UNC_00867,7,UNC,True
R_UNC_00989,4,UNC,True
R_UNC_01009,4,UNC,False
R_UNC_01007,4,UNC,False
R_UNC_01006,4,UNC,False
R_UNC_01005,4,UNC,False
R_UNC_01002,4,UNC,False
R_UNC_01001,4,UNC,False
R_UNC_01003,4,UNC,False
R_UNC_01010,4,UNC,False
R_UNC_00994,4,UNC,False
R_UNC_00991,4,UNC,False
R_UNC_01008,4,UNC,False
R_UNC_01011,4,UNC,False
R_UNC_00990,4,UNC,False
R_UNC_00992,4,UNC,False
R_UNC_00995,4,UNC,True
R_UNC_00996,4,UNC,False
R_UNC_00997,4,UNC,False
R_UNC_00998,4,UNC,False
R_UNC_00999,4,UNC,False
R_UNC_01000,4,UNC,False
R_UNC_01012,16,UNC,True
R_UNC_01014,16,UNC,False
R_UNC_01015,16,UNC,False
R_UNC_01016,16,UNC,False
R_UNC_01013,3,UNC,True
R_UNC_01017,18,UNC,True
R_UNC_01019,23,UNC,True
R_UNC_01034,2,UNC,True
R_UNC_01037,2,UNC,False
R_UNC_01036,2,UNC,False
R_UNC_01035,2,UNC,False
R_UNC_01039,2,UNC,True
R_UNC_01045,2,UNC,False
R_UNC_01046,2,UNC,False
R_UNC_01041,2,UNC,False
R_UNC_01040,2,UNC,False
R_UNC_01042,2,UNC,False
R_UNC_01043,2,UNC,False
R_UNC_01064,4,UNC,True
R_UNC_01070,4,UNC,False
R_UNC_01069,4,UNC,False
R_UNC_01068,4,UNC,False
R_UNC_01067,4,UNC,False
R_UNC_01066,4,UNC,False
R_UNC_01065,4,UNC,False
R_UNC_01071,4,UNC,True
R_UNC_01072,2,UNC,True
R_UNC_01074,2,UNC,False
R_UNC_01076,0,UNC,True
R_UNC_01077,0,UNC,False
R_UNC_01078,2,UNC,True
R_UNC_01079,2,UNC,False
R_UNC_01080,2,UNC,False
R_UNC_01081,2,UNC,True
R_UNC_01098,2,UNC,False
R_UNC_01097,2,UNC,False
R_UNC_01096,2,UNC,False
R_UNC_01095,2,UNC,False
R_UNC_01094,2,UNC,False
R_UNC_01082,2,UNC,False
R_UNC_01093,2,UNC,False
R_UNC_01092,2,UNC,False
R_UNC_01091,2,UNC,False
R_UNC_01090,2,UNC,False
R_UNC_01089,2,UNC,False
R_UNC_01088,2,UNC,False
R_UNC_01087,2,UNC,False
R_UNC_01086,2,UNC,False
R_UNC_01083,2,UNC,False
R_UNC_01085,2,UNC,False
R_UNC_01084,2,UNC,True
R_UNC_01099,6,UNC,True
R_UNC_01101,6,UNC,False
R_UNC_01100,6,UNC,False
R_UNC_01109,9,UNC,True
R_UNC_01110,9,UNC,False
R_UNC_01111,9,UNC,False
R_UNC_01112,11,UNC,True
R_UNC_01117,11,UNC,False
R_UNC_01115,11,UNC,False
R_UNC_01113,11,UNC,False
R_UNC_01114,11,UNC,False
R_UNC_01118,2,UNC,True
R_UNC_01130,2,UNC,False
R_UNC_01131,2,UNC,False
R_UNC_01133,2,UNC,False
R_UNC_01132,2,UNC,False
R_UNC_01129,2,UNC,False
R_UNC_01128,2,UNC,False
R_UNC_01127,2,UNC,False
R_UNC_01126,2,UNC,False
R_UNC_01123,2,UNC,False
R_UNC_01125,2,UNC,False
R_UNC_01122,2,UNC,False
R_UNC_01121,2,UNC,False
R_UNC_01120,2,UNC,False
R_UNC_01119,2,UNC,False
R_UNC_85566,2,UNC,True
R_UNC_85571,2,UNC,False
R_UNC_85570,2,UNC,False
R_UNC_85569,2,UNC,False
R_UNC_85568,2,UNC,False
R_UNC_85567,2,UNC,False
R_UNC_01138,2,UNC,True
R_UNC_01137,2,UNC,False
R_UNC_01136,2,UNC,False
R_UNC_01134,2,UNC,False
R_UNC_01135,2,UNC,True
R_UNC_01139,4,UNC,True
R_UNC_01140,4,UNC,False
R_UNC_01141,2,UNC,True
R_UNC_01147,2,UNC,False
R_UNC_01146,2,UNC,False
R_UNC_01145,2,UNC,False
R_UNC_01144,2,UNC,False
R_UNC_01143,2,UNC,False
R_UNC_01142,2,UNC,False
R_UNC_01148,0,UNC,True
R_UNC_01149,2,UNC,True
R_UNC_01150,0,UNC,True
R_UNC_01151,0,UNC,False
R_UNC_01152,0,UNC,False
R_UNC_01153,0,UNC,False
R_UNC_01156,7,UNC,True
R_UNC_01155,7,UNC,False
R_UNC_01154,7,UNC,False
R_UNC_01157,7,UNC,False
R_UNC_01158,1,UNC,True
R_UNC_01163,1,UNC,False
R_UNC_01162,1,UNC,False
R_UNC_01161,1,UNC,False
R_UNC_01160,1,UNC,False
R_UNC_01159,1,UNC,False
R_UNC_01166,11,UNC,True
R_UNC_01167,11,UNC,False
R_UNC_01168,4,UNC,True
R_UNC_01169,4,UNC,False
R_UNC_01171,2,UNC,True
R_UNC_01173,2,UNC,False
R_UNC_01172,2,UNC,False
R_UNC_01179,1,UNC,True
R_UNC_01187,1,UNC,False
R_UNC_01186,1,UNC,False
R_UNC_01185,1,UNC,False
R_UNC_01184,1,UNC,False
R_UNC_01183,1,UNC,False
R_UNC_01182,1,UNC,False
R_UNC_01181,1,UNC,False
R_UNC_01180,1,UNC,False
R_UNC_01188,8,UNC,True
R_UNC_01197,3,UNC,True
R_UNC_01200,3,UNC,False
R_UNC_01199,3,UNC,False
R_UNC_01198,3,UNC,False
R_UNC_01201,4,UNC,True
R_UNC_01210,4,UNC,False
R_UNC_01211,4,UNC,False
R_UNC_01209,4,UNC,False
R_UNC_01208,4,UNC,False
R_UNC_01205,4,UNC,False
R_UNC_01206,4,UNC,False
R_UNC_01207,4,UNC,False
R_UNC_01204,4,UNC,False
R_UNC_01203,4,UNC,True
R_UNC_01202,4,UNC,True
R_UNC_01212,4,UNC,True
R_UNC_01225,4,UNC,False
R_UNC_01223,4,UNC,False
R_UNC_01224,4,UNC,False
R_UNC_01218,4,UNC,False
R_UNC_01219,4,UNC,False
R_UNC_01216,4,UNC,False
R_UNC_01217,4,UNC,False
R_UNC_01220,4,UNC,False
R_UNC_01221,4,UNC,False
R_UNC_01222,4,UNC,False
R_UNC_01213,4,UNC,False
R_UNC_01214,4,UNC,False
