filename_key,wealthier
G_GT_6_1294#0,6.460000038146973
G_GT_6_1294#1,6.730000019073486
G_GT_6_1294#2,5.829999923706055
G_GT_6_1296#0,6.71999979019165
G_GT_6_1303#0,5.369999885559082
G_GT_6_1303#1,5.71999979019165
G_GT_6_1306#0,2.9700000286102295
G_GT_6_1306#1,4.46999979019165
G_GT_6_1315#0,2.890000104904175
G_GT_6_1316#0,5.460000038146973
G_GT_6_1316#1,4.269999980926514
G_GT_6_1320#0,7.590000152587891
G_GT_6_1320#1,8.800000190734863
G_GT_6_1340#0,7.329999923706055
G_GT_6_1340#1,3.509999990463257
G_GT_6_1340#2,6.630000114440918
G_GT_6_1340#3,4.900000095367432
G_GT_6_1345#0,3.2799999713897705
G_GT_6_1345#1,1.340000033378601
G_GT_6_1367#0,2.109999895095825
G_GT_6_1367#1,2.559999942779541
G_GT_6_1367#2,6.28000020980835
G_GT_6_1367#3,2.569999933242798
G_GT_6_1375#0,2.880000114440918
G_GT_6_1375#1,4.949999809265137
G_GT_6_1376#0,7.710000038146973
G_GT_6_1380#0,1.8799999952316284
G_GT_6_1384#0,5.929999828338623
G_GT_6_1384#1,6.929999828338623
G_GT_6_1384#2,4.340000152587891
