topic,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03
153,0.024793388429752067,0.06611570247933884,0.049586776859504134,0.01652892561983471,0.024793388429752067,0.0,0.0,0.008264462809917356,0.024793388429752067,0.008264462809917356,0.04132231404958678,0.024793388429752067,0.01652892561983471,0.0,0.008264462809917356,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.01652892561983471,0.008264462809917356,0.09090909090909091,0.0,0.06611570247933884,0.0743801652892562,0.05785123966942149,0.03305785123966942,0.0,0.0,0.024793388429752067,0.024793388429752067,0.03305785123966942,0.14049586776859505,0.024793388429752067,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.024793388429752067,0.049586776859504134,0.0
154,0.03418803418803419,0.05128205128205128,0.2222222222222222,0.008547008547008548,0.02564102564102564,0.10256410256410256,0.017094017094017096,0.017094017094017096,0.0,0.0,0.02564102564102564,0.0,0.008547008547008548,0.05982905982905983,0.042735042735042736,0.008547008547008548,0.017094017094017096,0.0,0.0,0.008547008547008548,0.0,0.0,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.1282051282051282,0.008547008547008548,0.0,0.02564102564102564,0.07692307692307693,0.0,0.06837606837606838,0.008547008547008548,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,0.006896551724137931,0.15862068965517243,0.034482758620689655,0.0,0.020689655172413793,0.0,0.0,0.006896551724137931,0.006896551724137931,0.006896551724137931,0.006896551724137931,0.027586206896551724,0.041379310344827586,0.06896551724137931,0.04827586206896552,0.0,0.0,0.0,0.04827586206896552,0.006896551724137931,0.0,0.0,0.013793103448275862,0.04827586206896552,0.11724137931034483,0.05517241379310345,0.05517241379310345,0.0,0.020689655172413793,0.0,0.0,0.013793103448275862,0.006896551724137931,0.020689655172413793,0.034482758620689655,0.027586206896551724,0.0,0.0,0.0,0.0,0.08275862068965517,0.0,0.0,0.0,0.013793103448275862,0.0
156,0.03571428571428571,0.008928571428571428,0.008928571428571428,0.008928571428571428,0.0,0.0,0.008928571428571428,0.017857142857142856,0.008928571428571428,0.017857142857142856,0.008928571428571428,0.008928571428571428,0.017857142857142856,0.0,0.008928571428571428,0.017857142857142856,0.0,0.008928571428571428,0.044642857142857144,0.0,0.0,0.008928571428571428,0.008928571428571428,0.1875,0.03571428571428571,0.15178571428571427,0.09821428571428571,0.008928571428571428,0.017857142857142856,0.017857142857142856,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.017857142857142856,0.044642857142857144,0.044642857142857144,0.008928571428571428,0.0,0.0
157,0.0,0.0,0.0,0.0,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.021505376344086023,0.0,0.0,0.0,0.0,0.1935483870967742,0.053763440860215055,0.0,0.0,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.0,0.0,0.010752688172043012,0.6344086021505376,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,0.0,0.0,0.0,0.0,0.038461538461538464,0.03076923076923077,0.015384615384615385,0.0,0.0,0.007692307692307693,0.015384615384615385,0.007692307692307693,0.0,0.007692307692307693,0.015384615384615385,0.007692307692307693,0.0,0.06153846153846154,0.08461538461538462,0.0,0.1076923076923077,0.08461538461538462,0.038461538461538464,0.13846153846153847,0.0,0.023076923076923078,0.007692307692307693,0.038461538461538464,0.05384615384615385,0.03076923076923077,0.03076923076923077,0.0,0.023076923076923078,0.007692307692307693,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.06153846153846154,0.007692307692307693,0.023076923076923078,0.015384615384615385,0.0
159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,0.0,0.0070921985815602835,0.05673758865248227,0.014184397163120567,0.014184397163120567,0.0,0.03546099290780142,0.0070921985815602835,0.028368794326241134,0.0070921985815602835,0.0425531914893617,0.0425531914893617,0.0,0.0,0.0,0.014184397163120567,0.0070921985815602835,0.0070921985815602835,0.0070921985815602835,0.1773049645390071,0.02127659574468085,0.014184397163120567,0.028368794326241134,0.0,0.0,0.0070921985815602835,0.02127659574468085,0.0070921985815602835,0.0,0.0,0.014184397163120567,0.02127659574468085,0.2765957446808511,0.02127659574468085,0.028368794326241134,0.028368794326241134,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.014184397163120567,0.0,0.0,0.0070921985815602835
161,0.038461538461538464,0.07692307692307693,0.08974358974358974,0.038461538461538464,0.01282051282051282,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.0641025641025641,0.05128205128205128,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.10256410256410256,0.16666666666666666,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,0.02040816326530612,0.04081632653061224,0.0,0.0,0.01020408163265306,0.0,0.01020408163265306,0.0,0.0,0.0,0.030612244897959183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.01020408163265306,0.0,0.0,0.10204081632653061,0.01020408163265306,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.01020408163265306,0.5918367346938775,0.02040816326530612,0.08163265306122448,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
